,inning,top_bot,home_team,away_team,pitch_number,ab_pitch_number,pitcher_name,pitcher_id,p_throw,order,batter_pos,batter_name,batter_id,stand,velocity,pitch name,pitch_name,pitch_type,balls,strikes,out_count,post_out_count,result,events,description,type,des,left,top,plate_x,plate_z,runner_id,post_runner_id,on_1b,on_2b,on_3b,bat_team,fld_team,away_score,home_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,fld_2,fld_3,fld_4,fld_5,fld_6,fld_7,fld_8,fld_9,umpire,umpire_1b,umpire_2b,umpire_3b,game_date,start_time,stadium,attendance,game_time_length,game_type,game_id,hit_direction,hit_distance,hit_angle,Zone,detailed_zone,runs_scored,away_runs_scored,home_runs_scored,event_out,fld_league,bat_league,home_league,away_league,swing,contact,IFH,FB,GB,LD,IFFB,OFFB,Pull,Center,Opposite,Left,Right,SL,SF,FA,FT,CT,CH,CB,SI,SP,XX,pitch_group
45,2,Top,巨人,阪神,38.0,4.0,井上 温大,1900019,左,9.0,投,大竹 耕太郎,1700137.0,左,145.0,ストレート,Four-Seam Fastball,FF,1,2,2,3,ファウル,,foul,S,134km/h カットボール,57.0,142.0,57.0,142.0,100,0,小幡,,,阪神,巨人,2,0,2,0,2,0,2,0,岸田 行倫,大城 卓三,吉川 尚輝,坂本 勇人,門脇 誠,岡本 和真,ヘルナンデス,丸 佳浩,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,,,,In,8.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
46,2,Top,巨人,阪神,39.0,5.0,井上 温大,1900019,左,9.0,投,大竹 耕太郎,1700137.0,左,134.0,カットボール,Cutter,FC,1,2,2,3,二ゴロ,ground_out,hit_into_play,X,134km/h カットボール,102.0,112.0,102.0,112.0,100,0,小幡,,,阪神,巨人,2,0,2,0,2,0,2,0,岸田 行倫,大城 卓三,吉川 尚輝,坂本 勇人,門脇 誠,岡本 和真,ヘルナンデス,丸 佳浩,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,Q,4.0,GO,In,6.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Fastball
47,2,Bot,巨人,阪神,9.0,1.0,大竹 耕太郎,1700137,左,4.0,左,岡本 和真,1400101.0,右,108.0,スライダー,Slider,SL,0,0,0,0,ボール,,ball,B,113km/h チェンジアップ、ファンブル（渡邉）、ランナー1塁,127.0,52.0,127.0,52.0,0,100,,,,巨人,阪神,2,0,0,2,2,0,0,2,坂本 誠志郎,大山 悠輔,渡邉 諒,佐藤 輝明,小幡 竜平,豊田 寛,植田 海,野口 恭佑,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,,,,Out,14.0,0,0,0,0,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Breaking
48,2,Bot,巨人,阪神,10.0,2.0,大竹 耕太郎,1700137,左,4.0,左,岡本 和真,1400101.0,右,139.0,ストレート,Four-Seam Fastball,FF,1,0,0,0,見逃し,,called_strike,S,113km/h チェンジアップ、ファンブル（渡邉）、ランナー1塁,95.0,69.0,95.0,69.0,0,100,,,,巨人,阪神,2,0,0,2,2,0,0,2,坂本 誠志郎,大山 悠輔,渡邉 諒,佐藤 輝明,小幡 竜平,豊田 寛,植田 海,野口 恭佑,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,,,,In,3.0,0,0,0,0,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
49,2,Bot,巨人,阪神,11.0,3.0,大竹 耕太郎,1700137,左,4.0,左,岡本 和真,1400101.0,右,113.0,チェンジアップ,Changeup,CH,1,1,0,0,二エラー,field_error,hit_into_play,X,113km/h チェンジアップ、ファンブル（渡邉）、ランナー1塁,76.0,100.0,76.0,100.0,0,100,,,,巨人,阪神,2,0,0,2,2,0,0,2,坂本 誠志郎,大山 悠輔,渡邉 諒,佐藤 輝明,小幡 竜平,豊田 寛,植田 海,野口 恭佑,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,S,4.0,GO,In,5.0,0,0,0,0,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,Offspeed
50,2,Bot,巨人,阪神,12.0,1.0,大竹 耕太郎,1700137,左,5.0,一,大城 卓三,1700044.0,左,138.0,ストレート,Four-Seam Fastball,FF,0,0,0,1,ボール,,ball,B,140km/h ストレート、お手玉（渡邉）、ランナー1塁,124.0,140.0,124.0,140.0,100,100,岡本和,,,巨人,阪神,2,0,0,2,2,0,0,2,坂本 誠志郎,大山 悠輔,渡邉 諒,佐藤 輝明,小幡 竜平,豊田 寛,植田 海,野口 恭佑,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,,,,Out,12.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
51,2,Bot,巨人,阪神,13.0,2.0,大竹 耕太郎,1700137,左,5.0,一,大城 卓三,1700044.0,左,138.0,ストレート,Four-Seam Fastball,FF,1,0,0,1,見逃し,,called_strike,S,140km/h ストレート、お手玉（渡邉）、ランナー1塁,93.0,131.0,93.0,131.0,100,100,岡本和,,,巨人,阪神,2,0,0,2,2,0,0,2,坂本 誠志郎,大山 悠輔,渡邉 諒,佐藤 輝明,小幡 竜平,豊田 寛,植田 海,野口 恭佑,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,,,,In,6.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
52,2,Bot,巨人,阪神,14.0,3.0,大竹 耕太郎,1700137,左,5.0,一,大城 卓三,1700044.0,左,140.0,ストレート,Four-Seam Fastball,FF,1,1,0,1,遊ゴロ,ground_out,hit_into_play,X,140km/h ストレート、お手玉（渡邉）、ランナー1塁,80.0,142.0,80.0,142.0,100,100,岡本和,,,巨人,阪神,2,0,0,2,2,0,0,2,坂本 誠志郎,大山 悠輔,渡邉 諒,佐藤 輝明,小幡 竜平,豊田 寛,植田 海,野口 恭佑,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,K,4.0,GO,In,8.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
53,2,Bot,巨人,阪神,15.0,1.0,大竹 耕太郎,1700137,左,6.0,三,坂本 勇人,700003.0,右,139.0,ストレート,Four-Seam Fastball,FF,0,0,1,2,ボール,,ball,B,140km/h ストレート,119.0,36.0,119.0,36.0,100,0,大城卓,,,巨人,阪神,2,0,0,2,2,0,0,2,坂本 誠志郎,大山 悠輔,渡邉 諒,佐藤 輝明,小幡 竜平,豊田 寛,植田 海,野口 恭佑,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,,,,Out,14.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
54,2,Bot,巨人,阪神,16.0,2.0,大竹 耕太郎,1700137,左,6.0,三,坂本 勇人,700003.0,右,140.0,ストレート,Four-Seam Fastball,FF,1,0,1,2,右フライ,fly_out,hit_into_play,X,140km/h ストレート,95.0,90.0,95.0,90.0,100,0,大城卓,,,巨人,阪神,2,0,0,2,2,0,0,2,坂本 誠志郎,大山 悠輔,渡邉 諒,佐藤 輝明,小幡 竜平,豊田 寛,植田 海,野口 恭佑,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,T,10.0,FO,In,3.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Fastball
