,inning,top_bot,home_team,away_team,pitch_number,ab_pitch_number,pitcher_name,pitcher_id,p_throw,order,batter_pos,batter_name,batter_id,stand,velocity,pitch name,pitch_name,pitch_type,balls,strikes,out_count,post_out_count,result,events,description,type,des,left,top,plate_x,plate_z,runner_id,post_runner_id,on_1b,on_2b,on_3b,bat_team,fld_team,away_score,home_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,fld_2,fld_3,fld_4,fld_5,fld_6,fld_7,fld_8,fld_9,umpire,umpire_1b,umpire_2b,umpire_3b,game_date,start_time,stadium,attendance,game_time_length,game_type,game_id,hit_direction,hit_distance,hit_angle,Zone,detailed_zone,runs_scored,away_runs_scored,home_runs_scored,event_out,fld_league,bat_league,home_league,away_league,swing,contact,IFH,FB,GB,LD,IFFB,OFFB,Pull,Center,Opposite,Left,Right,SL,SF,FA,FT,CT,CH,CB,SI,SP,XX,pitch_group
170,6,Bot,ソフトバンク,ロッテ,44.0,3.0,中森 俊介,2000088,右,9.0,中,周東 佑京,1700135.0,左,134.0,カットボール,Cutter,FC,1,1,2,3,空振り  [ワンバウンド],,swing_strike,S,カーブ,33.0,40.0,33.0,40.0,110,0,甲斐,牧原大,,ソフトバンク,ロッテ,3,4,4,3,3,4,4,3,佐藤 都志也,ソト,小川 龍成,安田 尚憲,友杉 篤輝,岡 大海,髙部 瑛斗,藤原 恭大,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,Out,13.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Fastball
171,6,Bot,ソフトバンク,ロッテ,45.0,4.0,中森 俊介,2000088,右,9.0,中,周東 佑京,1700135.0,左,,チェンジアップ,Changeup,CH,1,2,2,3,ファウル,,foul,S,カーブ,120.0,76.0,120.0,76.0,110,0,甲斐,牧原大,,ソフトバンク,ロッテ,3,4,4,3,3,4,4,3,佐藤 都志也,ソト,小川 龍成,安田 尚憲,友杉 篤輝,岡 大海,髙部 瑛斗,藤原 恭大,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,Out,12.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Offspeed
172,6,Bot,ソフトバンク,ロッテ,46.0,5.0,中森 俊介,2000088,右,9.0,中,周東 佑京,1700135.0,左,132.0,カットボール,Cutter,FC,1,2,2,3,ボール,,ball,B,カーブ,32.0,48.0,32.0,48.0,110,0,甲斐,牧原大,,ソフトバンク,ロッテ,3,4,4,3,3,4,4,3,佐藤 都志也,ソト,小川 龍成,安田 尚憲,友杉 篤輝,岡 大海,髙部 瑛斗,藤原 恭大,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,Out,13.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Fastball
173,6,Bot,ソフトバンク,ロッテ,47.0,6.0,中森 俊介,2000088,右,9.0,中,周東 佑京,1700135.0,左,134.0,カットボール,Cutter,FC,2,2,2,3,ボール  [ワンバウンド],,ball,B,カーブ,56.0,41.0,56.0,41.0,110,0,甲斐,牧原大,,ソフトバンク,ロッテ,3,4,4,3,3,4,4,3,佐藤 都志也,ソト,小川 龍成,安田 尚憲,友杉 篤輝,岡 大海,髙部 瑛斗,藤原 恭大,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,Out,14.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Fastball
174,6,Bot,ソフトバンク,ロッテ,48.0,7.0,中森 俊介,2000088,右,9.0,中,周東 佑京,1700135.0,左,,カーブ,Curveball,CU,3,2,2,3,三ゴロ,ground_out,hit_into_play,X,カーブ,79.0,144.0,79.0,144.0,110,0,甲斐,牧原大,,ソフトバンク,ロッテ,3,4,4,3,3,4,4,3,佐藤 都志也,ソト,小川 龍成,安田 尚憲,友杉 篤輝,岡 大海,髙部 瑛斗,藤原 恭大,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,E,3.0,GO,In,8.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Breaking
175,7,Top,ソフトバンク,ロッテ,,,津森 宥紀,1900102,右,,,,,,,,,,0,0,0,0,【継投】藤井→津森,,,,【今季】試30 防0.96 4勝2敗12H0S,,,,,0,0,,,,ロッテ,ソフトバンク,3,4,3,4,3,4,3,4,甲斐 拓也,山川 穂高,牧原 大成,栗原 陵矢,今宮 健太,近藤 健介,周東 佑京,正木 智也,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,Out,,0,0,0,0,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Other Pitches
176,7,Top,ソフトバンク,ロッテ,1.0,1.0,津森 宥紀,1900102,右,6.0,指,ポランコ,1460080.0,左,126.0,スライダー,Slider,SL,0,0,0,1,見逃し,,called_strike,S,128km/h スライダー,94.0,164.0,94.0,164.0,0,0,,,,ロッテ,ソフトバンク,3,4,3,4,3,4,3,4,甲斐 拓也,山川 穂高,牧原 大成,栗原 陵矢,今宮 健太,近藤 健介,周東 佑京,正木 智也,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,In,9.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Breaking
177,7,Top,ソフトバンク,ロッテ,2.0,2.0,津森 宥紀,1900102,右,6.0,指,ポランコ,1460080.0,左,148.0,ストレート,Four-Seam Fastball,FF,0,1,0,1,ファウル,,foul,S,128km/h スライダー,69.0,162.0,69.0,162.0,0,0,,,,ロッテ,ソフトバンク,3,4,3,4,3,4,3,4,甲斐 拓也,山川 穂高,牧原 大成,栗原 陵矢,今宮 健太,近藤 健介,周東 佑京,正木 智也,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,In,8.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
178,7,Top,ソフトバンク,ロッテ,3.0,3.0,津森 宥紀,1900102,右,6.0,指,ポランコ,1460080.0,左,150.0,ストレート,Four-Seam Fastball,FF,0,2,0,1,ボール,,ball,B,128km/h スライダー,122.0,173.0,122.0,173.0,0,0,,,,ロッテ,ソフトバンク,3,4,3,4,3,4,3,4,甲斐 拓也,山川 穂高,牧原 大成,栗原 陵矢,今宮 健太,近藤 健介,周東 佑京,正木 智也,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,Out,12.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
179,7,Top,ソフトバンク,ロッテ,4.0,4.0,津森 宥紀,1900102,右,6.0,指,ポランコ,1460080.0,左,150.0,ストレート,Four-Seam Fastball,FF,1,2,0,1,ボール,,ball,B,128km/h スライダー,43.0,173.0,43.0,173.0,0,0,,,,ロッテ,ソフトバンク,3,4,3,4,3,4,3,4,甲斐 拓也,山川 穂高,牧原 大成,栗原 陵矢,今宮 健太,近藤 健介,周東 佑京,正木 智也,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,In,7.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
180,7,Top,ソフトバンク,ロッテ,5.0,5.0,津森 宥紀,1900102,右,6.0,指,ポランコ,1460080.0,左,151.0,ストレート,Four-Seam Fastball,FF,2,2,0,1,ファウル,,foul,S,128km/h スライダー,85.0,155.0,85.0,155.0,0,0,,,,ロッテ,ソフトバンク,3,4,3,4,3,4,3,4,甲斐 拓也,山川 穂高,牧原 大成,栗原 陵矢,今宮 健太,近藤 健介,周東 佑京,正木 智也,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,In,9.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
181,7,Top,ソフトバンク,ロッテ,6.0,6.0,津森 宥紀,1900102,右,6.0,指,ポランコ,1460080.0,左,133.0,フォーク,Forkball,FO,2,2,0,1,ファウル,,foul,S,128km/h スライダー,121.0,86.0,121.0,86.0,0,0,,,,ロッテ,ソフトバンク,3,4,3,4,3,4,3,4,甲斐 拓也,山川 穂高,牧原 大成,栗原 陵矢,今宮 健太,近藤 健介,周東 佑京,正木 智也,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,Out,12.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Offspeed
